Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
DECIDE,Djo,2022-09-16,GBKPL2205058,918,50,710784872,64517,191969474,90,44322144,594352,129300,118218973,1027806256,58700775,149,94468,501,133,18315130,107,4025966,5291,3265268,3343993,0
K-POP (Chopped & Screwed),Travis Scott,2023-07-18,USSM12305652,917,50,285481590,62715,24530922,68,40688228,817018,4427,3170160,129035232,331318025,46,15660,347,39,587945,37,4832444,3721,3265268,808863,1
favorite - EP,Isabel LaRosa,2024-03-29,USRC12400507,919,50,123802404,7364,40769771,82,21277734,440764,182529,2357131,20879200,126759586,43,1815,86,45,394030,44,333441,463,3265268,1040640,0
JENNIE Special Single [You & Me],JENNIE,2023-10-06,KRA402300041,914,50,183134509,12210,12194109,67,164326447,3483743,319200,56468580,518880479,1663397140,15,6316,35,12,265865,29,710467,737,3265268,345892,0
Tattoo,Rauw Alejandro,2020-02-13,QZHN21900087,922,50,341742937,53836,9757013,58,1281379386,7138308,2132748,73202309,650666266,171345507,45,11458,117,15,133918,45,6119993,4186,3265268,713534,0
So Fresh The Hits of Summer 2011 + The Best Of 2010,Shakira,2010-01-01,USSM11001353,921,50,829352129,159324,36048887,61,4062829308,23606907,2250587,417038157,5938511405,269751922,109,22773,43,96,1215762,33,129133941,641400,542470,854584,0
The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,2024-03-28,USWL12400690,920,50,79786203,8939,75931694,76,32616728,216834,182529,26576921,266064027,13323878,29,4514,9,25,1896889,18,545735,194,3265268,236268,1
No Tears Left To Cry,Ariana Grande,2018-04-20,USUM71805289,923,50,1331371819,100503,36840744,71,1426855223,11706422,698131,30791124,219920452,1865455236,143,180151,280,68,735006,67,181267091,95346,3265268,6415036,0
I Fck Up - Single,Prince Ayaya,2023-10-28,QZTBB2395775,924,50,239850720,44,223,67,92839,1676,1900000,35297892,454838946,97746040,2,5953,86,15,237407,17,12735768,7818,3265268,238732,1
Upside Down,JVKE,2020-08-18,QM24S2008283,925,50,121391098,28044,6194695,54,19099476,465493,10318700,164374946,1710758827,517,24,1790,122,5,12865,2,2403391,3205,3265268,1184072,0
Papercuts,Linkin Park,2024-04-12,USWB11201319,927,50,570290910,174,525584,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,0
AgroPlay Verï¿½ï¿½o V,AgroPlay,2023-02-02,BCA6L2300010,926,50,423018422,23872,16779061,63,361813279,1727192,288613,21077364,277692228,841498728,21,17320,86,31,6708107,12,12735768,7818,3265268,609133,0
APAGA EL CEL - Single,FloyyMenor,2024-05-17,QZMWW2484259,929,50,33245898,2343,69471936,78,15755338,203277,182529,26576921,266064027,33968779,8,48,86,3,821777,17,18555,27,110406,171732,1
Genda Phool (feat. Payal Dev),Badshah,2020-03-26,INS172000876,930,50,86295058,7591,3058131,55,1022945729,6994273,5444473,128000154,1953198700,197996975,7,961,86,3,2467,7,519209,7818,3265268,193040,0
Street Gossip,Lil Baby,2018-11-30,USUG11802285,928,50,652559944,170734,17463888,74,317320682,2195610,13434,7576223,62837382,7241389,21,36,1,8,35919,6,133082789,60741,97169903,1456448,1
Espresso,Sabrina Carpenter,2024-04-12,USUV72401318,933,49,536986458,1,2,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,1
Pretty Little Poison - Single,Warren Zeiders,2023-03-17,USWB12300190,932,49,142512477,23828,9380794,72,56277759,436896,100195,10946988,109014578,727842762,14,202432,7,4,177002,18,71730881,10200,3516110,549127,0
Corazï¿½ï¿½n Roto (Re,Brray,2023-04-07,USUM72305202,931,49,203212015,36459,13719365,67,178302256,677453,827700,24190123,359964365,362205003,27,12434,86,12,1842000,3,127732,684,3265268,836117,1
Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Calvin Harris,2014-01-01,GBARL1400296,935,49,1497564072,255037,105180321,81,1989930606,8740440,1293032,116032171,1214191679,322680506,225,55500,119,170,1740585,36,332877611,236102,3265268,11380320,0
Murder On My Mind,YNW Melly,2018-06-01,QMCE31801827,934,49,1055558326,208777,21077896,72,952644680,8820105,251510,44341738,350694950,39105354,18,299,42,10,8074,17,112050497,360013,3265268,2087864,1
You Are The Reason,Calum Scott,2017-11-17,USUM71710315,937,49,1042531612,119883,31204776,73,1425188874,10037251,1513635,180692022,1930209423,1629614639,70,18397,8,17,70256,8,292156274,102664,3265268,6610744,0
Bad Liar,Imagine Dragons,2018-11-06,USUM71816161,938,49,1056929910,134812,31112950,74,908433462,8291217,1429594,181729752,2058078137,1802807851,54,118378,37,31,384519,12,130853305,106853,3265268,11123506,0
Wild Ones (feat. Jelly Roll),Jessie Murph,2023-10-06,USQX92304180,936,49,165347464,21942,13799115,67,43792907,313018,15847,603997,7395640,446100137,18,81,314,19,7719621,47,83726741,27712,1638261,354116,1
ROXANNE,Arizona Zervas,2019-10-10,USSM11914320,939,49,1474968552,170595,31145335,68,473697535,5439167,1513097,565840941,4972391653,251187916,154,271106,583,78,626621,2,12735768,7818,3265268,4556715,1
Making Memories,Karan Aujla,2023-08-18,CAW112300244,941,49,150073848,12340,8409772,71,232389376,1637844,70200,8387797,169068391,185360520,17,455,4,1,9696,20,46920,240,2691081,270472,0
Tacones Rojos,Sebastian Yatra,2021-10-22,USUM72119612,940,49,641756842,80542,23090494,68,558812868,2887216,328394,77295943,855230861,387792262,78,438,875,40,686168,85,9553399,8482,723371,2934783,0
Ride the Vibe,NEXZ,2024-05-20,US5TA2400118,942,49,899456,147,2784044,46,31419384,139393,182529,26576921,266064027,127867,2,31,86,1,5401,8,1012,2,3265268,8204,0
family ties - Single,Baby Keem,2021-08-27,USSM12105949,945,49,786298066,204148,57623622,77,63403993,557514,55168,80647899,532021210,764790,62,21505,354,20,174320,38,6412824,10269,3265268,1938598,1
"Perdonarte, ï¿½ï¿½Para Q",Los ï¿½ï¿½ngeles Az,2024-05-23,MX1722401778,943,49,19514243,1329,42180412,75,17545232,195611,182529,26576921,266064027,16582955,16,1344,86,16,378750,10,181212,14,3265268,48790,0
Whatever It Takes,Imagine Dragons,2017-05-09,USUM71703515,944,49,1257258072,156442,33271283,76,1192880501,7815307,202700,27054065,340416328,158079968,86,148594,260,37,367136,9,359252086,209287,3265268,12160416,0
IM NAYEON,NAYEON,2022-06-24,US5TA2200041,946,49,296828933,25748,12535016,69,407776018,8669558,1937239,548973446,5178604164,240970840,18,3491,83,3,17624,26,1106839,2484,3265268,445036,0
New Horizons,ALPHA 9,2023-01-13,GBEWA2206731,948,49,78985,67,5674,9,621561070,3598710,182529,26576921,266064027,45996393,28,15,86,15,237407,17,13012,7818,6099,854584,0
Work Of Art,Asake,2023-06-15,USUYG1490059,947,49,84655991,13107,7678884,69,75076449,510479,1513241,16795588,382487197,72422815,36,11861,89,6,164069,26,779288,650,1367844,2361169,0
ecstacy (slowed),SUICIDAL-IDOL,2023-06-06,QZK6F2330686,949,49,242661037,43999,9893510,74,51722759,783780,499500,69556599,646143014,460974,5,5953,948,1,9696,1,496607,1659,3265268,2552266,1
Si Se Da,Myke Towers,2019-02-26,QM4TX1920224,952,49,317223968,47247,7578697,54,1867482161,5147665,15153,1209967,14034398,133593097,21,5622,9,6,74161,38,79260855,11001,3265268,1796737,1
Holy,Justin Bieber,2020-09-18,USUM72017013,950,49,787546548,110389,44478175,63,396861382,6241346,193594,69149295,561056269,1394478465,178,399515,339,51,257512,54,85450020,45037,3265268,3589419,0
2014 Forest Hills Drive,J. Cole,2014-12-09,USQX91402598,955,49,2235160830,403355,73668045,81,656310159,4852226,744556,138864977,885273359,184893947,115,11860,61,41,370317,21,657042048,203470,3265268,5513979,1
Symphony (feat. Zara Larsson),Clean Bandit,2017-03-16,GBAHS1700199,954,49,1456894713,141677,49274720,71,1523128022,9966382,707674,33256295,386013926,1419194972,173,84752,17,82,706468,41,76856978,79418,18687841,9434537,0
Rain On Me (with Ariana Grande),Lady Gaga,2020-05-22,USUM72004304,951,49,1060378159,104647,55948663,68,514581598,6465409,442243,80912710,538854965,382160207,320,354978,438,143,2320730,105,62220803,71438,3265268,3888061,0
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,2023-07-27,GBUM72306881,953,49,118804209,57036,35240391,71,16072797,207183,182529,26576921,266064027,125042,29,6016,86,14,2609137,34,154435,495,6256341,908754,0
10:35,Tiï¿½ï¿,2022-11-03,CYA112001130,958,49,539802784,82093,99413749,74,94379586,652780,11473,5762615,119710596,487764676,187,60512,265,80,1747753,64,43487605,7144,3265268,2064142,0
One Right Now,Post Malone,2021-11-05,USUM72120404,963,49,631789333,99512,27179361,65,182180447,1908939,30141,12902227,181078488,954672882,89,255213,1005,25,858001,34,103350630,11558,3265268,2041348,1
A Thousand Years,Christina Perri,2011-10-18,USAT21102141,964,49,1654956613,177834,80060384,77,2989286684,19870174,4479720,848530861,8594414469,1579447076,94,88803,66,66,114244,46,12735768,7818,68,15974659,0
Secreto,Anuel AA,2019-01-15,USXDR1900020,957,49,759388276,68502,18835572,65,1595484197,8161642,609042,40357374,543804719,306014364,40,159,15,43,358784,21,147935567,36380,3064688,1317266,0
Toda (Remix),Alex Rose,2018-06-01,QM4TX1838235,959,49,482021697,68578,13363939,66,1965829285,5786525,696400,34322459,289741256,30691906,25,2857,86,5,41009,14,67068115,20616,3265268,2148531,1
I Hate U - Single,SZA,2021-12-03,USRC12103605,956,49,456871037,71261,34724014,66,142820854,1393679,877769,211488170,1676387442,85726782,105,136784,1324,29,699151,19,92133806,29242,15212609,1854776,1
beerbongs & bentleys,Post Malone,2018-04-27,USUM71805170,962,49,1953403531,239092,47844195,74,48443287,734538,104133,9802093,97061584,97746040,144,350458,203,59,582382,79,467402120,251025,3265268,8827325,1
Kiss,Carly Rae Jepsen,2012-01-01,CAB391100615,960,49,1394048309,211162,114187117,77,2007334200,12223928,418014,40431475,367016981,1811023591,222,200327,967,145,1939414,88,401427022,1189600,3265268,14252942,0
Pobre Corazï¿½ï¿½n (En Vivo) [feat. Onda Sabanera] - Si,Ke Personajes,2023-03-02,QZN882353309,965,49,187127704,18938,5235073,65,425484500,857540,8176,2607049,30085568,188119455,8,5686,86,5,349806,7,12735768,7818,3265268,432240,0
Piece Of Your Heart,MEDUZA,2019-02-01,DEUM71807719,966,49,995452298,188608,44047615,65,464369299,4586152,742947,75493341,1282810923,34091844,255,171176,196,166,2039570,43,46973428,14833,26135531,14464887,0
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,2023-05-22,INH102307782,961,49,203379355,14067,8370027,63,361600873,2581315,182529,26576921,266064027,110775514,16,1319,86,15,237407,12,12735768,7818,3265268,376272,0
Talento De Vida,Doble ONE Flow Letal,2023-10-11,QZTB72322595,967,49,140356426,9363,5604254,67,87822276,963707,849600,119963984,1057039331,261296658,4,4,86,6,5463321,17,131941,873,3265268,961258,0
Ram Pam Pam,NATTI NATASHA,2021-04-20,USB272100106,968,49,257167813,38896,13810240,55,794011391,4280865,1887815,202617114,2167134347,350033186,69,28737,176,20,116868,35,24761052,5667,3265268,1621368,1
en dormir sin Madrid,Bizarrap,2023-10-03,UYB282301041,970,49,181516735,25092,10823656,67,155509942,2922165,182529,26576921,266064027,53784475,7,1849,86,9,401523,15,62580,76,3265268,194645,0
BABYMONSTER Pre-Release Single [Stuck In The Middle],BABYMONSTER,2024-02-01,KRA402400004,972,49,21167612,1285,2035557,67,147951356,1755973,16500,8382900,70103300,80502081,5,284,86,15,237407,8,12735768,7818,3265268,47782,0
No Se Va (En Vivo) - EP,Grupo Frontera,2022-04-28,QZHN72212529,973,49,582023797,48881,17367502,70,293059162,1383526,1100596,64787440,805988782,40039,26,18750,222,6,53465,16,84722896,25730,192143,1946266,0
Aesthetic,Xilo,2020-02-14,QZFZ22071847,969,49,27312761,9048,2060708,38,3538161,118805,12562825,754488882,5979843010,86473112,6,5953,239,2,3328,17,174203,2348,3265268,26178,1
GUTS,Olivia Rodrigo,2023-09-08,USUG12304099,971,49,287724574,25460,15517447,67,54771296,818500,485830,47532963,469327093,1298782751,47,56,34,29,1998239,43,6371213,20559,910103,770996,1
LA PEOPLE II,Peso Pluma,2024-03-21,QM4TX2458976,978,48,123243341,5069,34480158,79,53762979,472820,182529,171600,3100000,97746040,13,8,86,4,1081795,14,2185039,1024,3265268,121403,1
Back To Black: Songs From The Original Motion Picture,Amy Winehouse,2024-04-12,GBCAD2000628,974,48,562814594,17,25810,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,1,530,17,12735768,7818,3265268,854584,0
THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401029,975,48,150693008,3273,15710281,67,15389385,261652,182529,4822,39100,97746040,29,450,86,4,53098,52,3131451,12957,3265268,49802,1
Your Love (9PM),ATB,2021-01-15,DECE72003523,976,48,721002104,146298,62920572,71,118729044,952700,25400,5772644,81735548,153714110,201,361427,220,115,2519598,27,24235804,2394,5026745,7799522,0
One Side,Iyanya,2022-09-15,ZA41S2225757,977,48,23823099,10859,859682,53,75987807,365743,4024066,59428340,1004679876,42569293,3,2518,86,15,237407,17,12735768,7818,3265268,854584,0
HEAT STICK,Shoreline Mafia,2024-05-10,USAT22402903,979,48,20538101,3675,33607850,74,3575151,101311,182529,20600,108700,381728,23,370,5,5,38916,7,1637484,359,1415426,75399,1
x (Wembley Edition),Ed Sheeran,2013-01-01,GBAHS1400094,980,48,2525355904,208671,121163411,77,1884843329,9916244,1459274,502385405,4406781129,1706776803,249,89818,80,234,603824,54,450907868,190210,35594470,17163765,0
For All The Dogs,Drake,2023-10-06,USUG12306066,981,48,165204421,38562,6636362,67,16599214,126612,182529,26576921,266064027,35874,5,1751,86,2,1924,8,5063703,5731,6243171,349915,1
Nostalgia,Rod Wave,2023-09-15,USQX92305201,982,48,66813186,11024,4487030,67,75881981,409473,4842,4543062,34091093,359281223,11,1245,29,3,21417,16,18521097,26354,13491731,395093,1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofï¿½ï¿½a R,2018-02-16,USWL11700238,983,48,667508675,78737,29292148,61,1001147152,7847053,7162351,628778954,8778203835,433920815,97,36727,152,63,323404,41,12798124,11917,3265268,8994016,0
Ateï¿½ï¿½e Dï¿½ï,Mert Demir,2023-09-22,USA2P2346453,984,48,98395711,14727,3591657,67,198114786,880794,182529,3300292,84398578,107323281,10,11952,86,2,1567756,17,12735768,7818,3265268,1134279,0
Until I Found You (Em Beihold Version),Stephen Sanchez,2022-04-22,USUG12202266,986,48,1020452066,108274,75934462,79,114404861,1372385,228100,129184868,1013000586,995903,45,74239,86,27,250765,5,1435373,6073,3198903,854584,0
Scary Hours 2,Drake,2021-03-05,USUG12101042,985,48,793287638,225513,37094631,71,104966782,872923,36542,45722496,319496635,783169,130,18714,82,21,693216,18,57284328,23173,3265268,2221501,1
Jiwa Yang Bersedih - Single,Ghea Indrawari,2023-05-18,FRX452328816,987,48,229120157,11931,7972917,69,136914720,1023397,1589944,378055132,5604886674,45212529,6,3334,86,15,237407,17,12735768,7818,3265268,154129,0
3MEN2 KBRN,Eladio Carrion,2023-03-17,QM4TX2344391,988,48,459282058,67717,32043186,72,100210832,673502,49000,17997404,147682062,1805292,46,24347,102,13,242670,17,9497644,3142,3265268,742228,1
Calm Down Baby - Single,DJ Laxman,2024-01-12,FR10S2458617,989,48,1389772733,1,1,67,148269610,1257935,182529,26576921,266064027,97746040,2,5953,86,15,237407,17,12735768,7818,3265268,854584,0
The Prelude,Pink Sweat$,2020-07-17,USAT22003823,991,48,670245273,83819,24550707,64,537033479,4862491,3893052,155783189,1736930175,10765679,58,32924,388,17,104909,8,1187501,3010,3265268,2977114,0
TOO MUCH,The Kid LAROI,2023-10-19,USSM12307154,990,48,137894955,20037,20683852,67,45533851,1730466,4402,2179277,13108162,1665204683,37,99290,31,37,404042,39,2640092,369,1157460,601987,1
Go Down Deh (feat. Shaggy and Sean Paul),Spice,2021-04-30,USVPR2100046,993,48,218431985,56998,7122424,61,336505073,3901948,3595260,338445934,4731467896,11491467,24,20192,98,10,193061,14,12362903,6285,2388111,6024636,0
NEW TIK&TOK - BUZZ BEST -,MUSIC LAB JPN,2023-06-07,TCJPV2340543,1103,48,1611084670,32312,13264111,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,1
Miles on It,Marshmello,2024-05-03,QZZVQ2400059,992,48,41924126,3794,124369916,79,4219901,103922,182529,26576921,266064027,237146592,87,4032,33,51,8224597,91,9227545,2729,239024,189286,0
El Caballito - Single,FARIANA,2024-06-07,QM6N22408548,994,48,184278,74,5010610,42,148269610,1257935,63000,14587439,205181975,97746040,4,8,86,15,237407,12,387,7818,3265268,2840,1
PICK UP THE PHONE (feat. Nate Dogg),PAWSA,2024-05-31,GBCEN2400112,995,48,2284977,1425,11819359,22,186215,4951,182529,26576921,266064027,97746040,13,243,86,16,206878,24,12735768,7818,1035215,44984,1
Tomorrow 2 (with Cardi B),GloRilla,2022-09-23,USUM72217666,996,48,157806193,27840,14490602,64,216925153,1357039,264839,77376260,507673872,175345907,41,221878,172,6,22426,60,54650583,33003,3265268,1089768,1
Se Preparï¿,Ozuna,2017-08-10,USXDR1700552,997,48,846909112,81897,37257314,73,2003507626,8554387,357129,31889859,259122341,265630619,50,11560,115,18,197244,32,202338087,58208,3265268,2526044,0
Lost On You,LP,2016-03-24,QMRSZ1501406,998,48,837042727,127522,22902207,70,2265062550,13313083,87300,31874280,239446479,220914117,80,80796,86,105,511599,13,4454935,23901,3265268,16431621,0
Leï¿½ï¿½o - Si,Marï¿½ï¿½lia Mendo,2022-12-08,BRWNV2200185,999,48,415752953,20588,32327663,66,423072409,2136310,318300,58453253,754580262,1139343976,26,8809,86,55,7373693,13,14151,29,3265268,280389,0
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023-07-12,INH102309955,1005,47,159909273,7624,11285253,64,329088407,1435514,182529,26576921,266064027,92792948,12,1145,86,1,1097,21,12735768,7818,3265268,109794,0
Lean Wit Me,Juice WRLD,2018-05-22,USUG11800945,1001,47,880781313,137341,29154307,72,432457883,3689786,28508,3880481,33981823,5946423,21,835,113,10,71637,2,59762272,55696,120023575,934193,1
HOTEL LOBBY (Unc and Phew),Quavo,2022-05-20,USUG12202512,1002,47,399707517,131547,25873871,69,44839108,449678,1332,101238,1130861,2803361,66,36742,836,12,1000634,36,81514413,12561,3265268,2145146,1
"Choli Ke Peeche (From ""Crew"") - Single",Diljit Dosanjh,2024-03-20,INT102400983,1006,47,16264473,552,6584623,67,93523633,390514,182529,26576921,266064027,97746040,1,487,86,15,237407,11,12735768,7818,3265268,35056,0
April Rain in August Weather - Single,Baba Blakes,2023-03-24,FR96X2351551,1004,47,408449,38,1747,12,524571173,1510602,23,20,385,97746040,28,25,86,15,237407,17,12735768,7818,3265268,75,0
LEATHER,MAKAELA,2023-01-27,QZJG52355895,1000,47,1696,32312,13264111,67,604258394,1611760,182529,26576921,266064027,97746040,28,6,86,15,237407,17,12735768,7818,3265268,854584,1
Panini,Lil Nas X,2019-06-20,USSM11903948,1003,47,741766886,96241,16599790,62,659070547,10294151,334492,59073681,493209730,229239236,68,46553,504,22,405827,18,132924483,229717,43940834,2409985,0
Stereotype,Cole Swindell,2022-04-08,USWB12200181,1007,47,244709550,33533,14159174,69,92809269,501049,53799,11305059,140118719,466327206,31,418626,159,4,96022,28,154772045,37582,3265268,911477,0
THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401032,1008,47,175613480,4454,20883678,84,15237337,222750,182529,247100,1510800,24074850,29,774,86,6,284806,27,2107786,2086,3265268,67886,0
good 4 u,Olivia Rodrigo,2021-05-14,USUG12101253,1009,47,2167768056,12805,3065794,54,148269610,1257935,182529,26576921,266064027,97746040,93,819886,86,6,192922,2,12735768,7818,3265268,7171230,0
bad idea right?,Olivia Rodrigo,2023-08-11,USUG12304094,1012,47,433515672,37313,23894665,12,37971085,871048,236657,92857729,839351640,1213115245,73,12873,495,38,8664321,37,10949173,15146,3265268,706445,1
"Ay, DiOs Mï¿½ï",KAROL G,2020-07-10,USUM72013593,1016,47,599215039,57051,16707832,61,834762162,5130805,2265527,71390703,779241131,38462285,111,26349,168,25,244418,33,54177152,13881,2842552,1362793,0
SOUR,Olivia Rodrigo,2021-05-21,USUG12101247,1015,47,1133535049,116055,29173011,79,352845171,3883946,722581,472933333,3266081830,326868389,56,20348,86,11,193230,11,34992093,44126,3265268,1970544,1
Lalala,Y2K,2019-06-28,USSM11904230,1010,47,968133091,142494,16656325,66,707665227,10665380,2733359,556612849,6342877983,368355428,76,25256,267,33,6401270,7,12735768,7818,3265268,9155025,1
ONE MORE TIME / MORE THAN YOU KNOW,blink-182,2023-09-21,USSM12306395,1011,47,62097485,16027,7986146,67,36646460,717689,5436,2500510,39957104,40665968,23,159385,44,18,291819,61,3622597,4137,3265268,1145608,0
ýýýýýýýýýýýýýýýýýýýýý,HoneyWorks,2022-11-21,JPX402200183,1014,47,23191929,5912,438018,51,128703160,1112327,3400886,499324989,6284732144,80772548,3,80,86,15,237407,6,46380,60,3265268,188814,0
Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,2022-09-28,BC91N2200001,1013,47,150177750,30142,13282269,59,153683754,1673637,2700000,1300234701,15253039012,6064515,9,151,281,28,89832,10,64326,340,3265268,1072415,1
Chichiquetere,HCTM,2022-08-06,SGB502231965,1017,47,1858478,581,37113,28,163462,3981,5101153,88338099,1420793896,97746040,28,23,86,15,237407,17,12735768,7818,3265268,49225,0
After Hours,Kehlani,2024-04-04,USAT22401034,1019,47,34629239,3962,55053444,14,2560026,50310,182529,477400,4592500,14602910,49,36465,7,17,215137,32,4067131,1027,603693,349619,1
SteamFun - Single,Kevin MacLeod,2011-05-16,USUAN1400011,1018,47,11477477,7679,1490705,36,11457166,123604,31963934,23474223833,233232311463,1418397,4,2557,86,1,43207,1,12735768,7818,3265268,1177639,0
COWBOY CARTER,Beyoncï¿,2024-03-27,USSM12402717,1022,47,76870736,5252,32501444,67,6424033,126715,182529,26576921,266064027,200314697,76,35701,23,83,6321279,64,4488447,1755,176006,286217,0
Dua Lipa (Complete Edition),Calvin Harris,2015-01-01,GBARL1800368,1024,47,2178606166,291456,162511602,79,1256080361,8723122,1932873,174361744,1597020461,706333060,458,160995,376,548,3408335,103,141238520,81291,3265268,15829169,0
Mmhmm,BigXthaPlug,2023-10-06,QZNMX2391413,1020,47,155648648,28131,46683719,82,27758776,286628,44222,881868,7609548,105397484,20,23720,203,1,1924,10,7238417,2385,5358274,479173,1
KIRK,DaBaby,2019-09-27,USUM71918972,1021,47,820923123,158363,34079735,68,661665888,6303898,74988,16461096,129969428,156344017,68,140499,401,38,202117,7,123274962,145513,3265268,2417871,1
Husn,Anuv Jain,2023-12-01,INUM72303081,1023,47,181457783,12424,10746664,74,130834495,1816271,182529,26576921,266064027,1014573386,9,104,86,1,1097,6,12735768,1,3265268,355361,0
Nothing But The Beat,Sia,2011-01-01,GB28K1100036,1031,47,1634403761,244291,103798139,74,1855838617,9070363,223184,49312980,510515661,1440344388,253,213633,53,142,1062057,77,651980038,1038186,3265268,15214627,0
Kahani Suno 2.0,Kaifi Khalil,2022-05-31,QZK6Q2278612,1027,47,296648613,21479,6678540,68,510727740,6497078,1200000,27052606,410960127,97746040,2,5953,86,1,1097,17,12735768,7818,3265268,422144,0
No_se_ve.mp3 - Single,Emilia,2023-05-03,QM6N22333334,1025,47,218340846,30667,18842918,64,223159269,879627,225600,67337219,876147905,290956426,20,23591,12,30,766172,54,13860,7818,3265268,744536,1
Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re,Major Lazer,2015-09-04,FR6P11501180,1030,47,53822187,2081,465455,67,3617929617,17418989,182529,37,956,1393748323,28,5953,86,1,234,17,12735768,7818,3265268,854584,0
Arcade,Duncan Laurence,2019-03-07,NL1TK1900001,1029,47,1184536529,199838,52970224,69,439603979,6566306,1458534,698504294,6956515458,852884,124,162431,210,51,343757,20,43572216,21328,3265268,11835805,0
Ya Te Olvide,Natanael Cano,2024-05-15,QZ9QQ2400324,1032,47,38139811,1763,29137587,79,19437867,412418,182529,26576921,266064027,97746040,9,4,86,2,1229099,15,938522,120,3265268,114816,0
How Deep Is Your Love,Calvin Harris,2015-07-17,GBARL1500704,1026,47,1156342373,168603,66723908,78,1961319809,8520003,527189,148496036,982629718,234830168,364,77370,80,132,734737,12,164858805,135026,3265268,14394209,0
EPIC AF,Travis Scott,2017-01-01,USSM11704799,1028,47,1388024799,219410,37089107,79,583707677,4328247,103265,22575146,236970860,39422962,133,7534,86,31,285491,27,190725773,62017,89880570,3356112,0
Let You Down,NF,2017-09-15,USUM71708226,1034,47,1472430869,187536,40032849,73,668707222,7011620,754672,35519027,270757450,128349191,68,67662,137,30,104624,11,484243114,237879,3265268,8887316,0
FE!N (feat. Playboi Carti),Travis Scott,2024-03-30,USSM22301824,1033,47,656618110,3,82,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,1
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,MEDUZA,2022-07-22,GBUM72203666,1035,47,460973352,87026,76037102,69,21938855,220610,46341,11711694,202563112,97746040,93,200995,171,59,1721803,22,4963625,1266,2244208,3373945,0
YHLQMDLG,Bad Bunny,2020-02-29,QM4TX2030934,1036,47,745086450,95154,29388631,67,818482247,8068018,1515908,126702212,1133216780,291194930,128,24957,38,35,372403,53,81678830,65483,3265268,1822325,0
NewJeans 2nd EP 'Get Up',NewJeans,2023-07-21,USA2P2330071,1038,47,234215735,20419,7910753,74,189170317,1734442,98128,38199952,297802502,537474239,24,2619,21,2,18940,4,696801,973,1352255,248138,0
Jordan,Ryan Castro,2021-04-30,FR96X2111994,1037,47,535847791,57454,22561916,73,602969531,3455570,2054500,440899222,5134093462,126173423,23,16697,394,9,55353,29,1005285,1583,3265268,1079602,0
Take You Dancing,Jason Derulo,2020-07-22,USAT22004479,1039,47,716319941,98905,32882211,65,460154791,3442896,522107,149900995,1506051452,176273148,145,392495,115,91,3010119,31,111888753,21214,3265268,854584,0
BUBALU,Feid,2023-09-22,USUM72312321,1043,47,152487756,26763,34486818,67,91266986,531703,22360,672615,7708938,140740472,33,45802,34,44,11519450,27,1037674,651,3265268,783303,0
Be Alright,Dean Lewis,2018-06-29,AUUM71800255,1042,47,1749353402,182732,81424354,72,244698483,2156754,191718,48497239,379547638,2742,148,153400,53,47,238867,26,187475548,145064,38670021,12744176,1
Jalebi Baby,Tesher,2020-11-13,QZNWQ2070741,1041,47,164137928,47324,4827888,58,569438267,9098356,3568275,609856643,8443743856,8067537,43,20053,26,3,1874,3,1536646,4239,3441396,6489242,0
Endless Summer,Alan Walker,2023-07-13,NOG842305010,1040,47,28340672,7147,9900066,55,6667293,144046,2207992,16323044,395590915,13897403,8,16735,86,10,108472,8,297266,120,3265268,150561,1
Belly Dancer,Imanbek,2022-02-18,NLZ542200165,1047,46,547114702,110008,103107258,75,152539885,1025216,81866,45025550,367187204,675951120,85,125928,86,73,1992797,42,12735768,7818,3265268,3826486,0
