Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
THE DEATH OF PEACE OF MIND,Bad Omens,2022-02-25,USYFZ2264208,2872,26,209635991,54470,8885780,71,26381437,281014,161246,24563445,231239811,12295099,18,99987,102,3,29711,13,23457347,11141,1923886,832908,0
older,Isabel LaRosa,2023-09-15,USRC12302056,2870,26,174933335,20035,16854153,67,13345496,254331,1,496198,3421698,97746040,4,290,86,13,244120,17,1110727,934,1701988,810245,0
Happy Dance,Elmo,2023-02-03,USRH12206010,2889,26,239850720,32312,13264111,67,323018594,550826,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,90623,791,3265268,854584,0
Glorious (feat. Skylar Grey),Macklemore,2017-06-15,QZ8TY1700001,2878,26,899431434,111427,17437639,72,345265852,3361539,277847,116647161,813589191,142496161,58,1116,26,18,41140,13,86963909,92609,26708285,3585978,1
Black Panther: Wakanda Forever - Music From and Inspired By,Burna Boy,2022-11-04,USHR12244832,2875,26,139783785,44303,5375418,63,37874489,402994,41400,17092754,129948415,644,25,5116,1,11,109328,14,3097330,2488,4553795,2203339,0
reputation,Taylor Swift,2017-11-10,USCJY1750007,2885,26,987770768,58856,33732271,75,593364271,4837607,33676,20092439,130537420,78802662,81,139497,30,17,234356,55,168036238,64405,3265268,3928542,0
Labios Mordidos (with KAROL G),Kali Uchis,2023-11-24,USUM72315069,2883,26,91553012,8921,15207574,67,48246407,514286,321,234356,266064027,381759122,20,6121,126,36,7295757,9,6723078,1095,483249,196870,0
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,2021-06-16,UYB282113006,2892,25,203081704,47164,7286295,59,409311269,2277370,182529,26576921,266064027,31484427,12,324,86,4,21147,4,19948,7818,3265268,373244,0
Watch the Throne (Deluxe),JAY-Z,2011-01-01,USUM71111621,2899,25,1436087930,296520,56557390,76,444307904,3150622,37473,21427059,199117216,16347538,159,49872,3,47,70698,51,106302435,446924,3265268,10189462,1
Be My Lover (feat. La Bouche) [2023 Mix],Hypaton,2023-04-21,DEE862300656,2893,25,136778408,38192,48561484,74,148269610,1257935,1937,301660,16053583,97746040,31,27969,86,59,1248462,30,887691,205,1317255,936908,0
Butterfly x Boom (Remix),LEA,2022-01-13,HKK972201900,2897,25,239850720,382,26476,67,148269610,1257935,3700884,12129705,201918963,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,85064,0
On The Radar Freestyle,Drake,2023-07-26,USLD91749183,2894,25,86155124,34804,13487736,62,17603372,566251,4799,2344363,21751158,465664,22,884,1,1,12802,18,1836178,1081,3265268,260921,1
It's Only Me,Lil Baby,2022-10-14,USUG12207233,2906,25,101717995,43236,7266342,61,28422099,327967,63,1372,15743,97746040,18,3843,932,3,908794,17,96992333,15344,3265268,1196752,1
Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Jessie J,2014-01-01,USUM71409737,2895,25,1336196012,120161,65089226,72,321959140,3114933,22465,36410479,243157936,2330,164,30904,140,107,1187886,53,520899844,621488,3265268,6269103,0
Starboy,The Weeknd,2016-11-25,USUG11600998,2890,25,1015965940,125348,27076169,77,530807213,3439489,515202,51866413,445032303,14016821,56,5219,68,37,270027,3,71957016,35326,7071878,3869271,1
1989 (Taylor's Version),Taylor Swift,2023-10-26,USUG12306687,2908,25,265932119,15133,21522387,67,10688311,218021,57311,24038841,148790467,1023354836,14,6497,5,19,512287,33,2649309,1180,3265268,362874,0
icantbelieveiletyougetaway,aldn,2024-05-31,QZMEQ2463576,2896,25,3162942,520,4539512,63,247697,13414,15900,26576921,266064027,97746040,28,5953,86,15,237407,17,3490,26,366782,46746,0
INKUBATOR,Hot Lemon,2023-02-25,USCGJ2325873,2905,25,239850720,32312,13264111,67,307570754,3929196,182529,26576921,266064027,10540020,28,1,86,15,237407,17,12735768,7818,3265268,854584,0
Funk Estranho - Single,prod.67,2024-05-31,QZNWR2410858,2902,25,3589,32312,13264111,15,148269610,1257935,182529,26576921,266064027,97746040,1,5953,86,15,237407,17,12735768,7818,3265268,589007,0
Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214880,2901,25,370800055,49381,6786167,68,130681979,909372,9631,12486570,123346772,20198310,8,1209,86,1,4012,1,11215211,2417,3831965,336808,1
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,2020-05-08,FRY682000003,2909,25,437558372,91322,17073985,65,131588669,803725,52346,9680657,88146717,46616431,97,213903,86,80,3693604,15,4728071,5923,3265268,3913562,0
JEALOUSY (feat. Cardi B),Offset,2023-07-28,USUM72311135,2907,25,58058696,20289,18874374,56,31124272,674922,8543,7585680,62820921,267510966,18,35668,359,11,189549,35,18553797,2371,3265268,519567,1
